country,population_2024,gdp_per_capita_2024,ecommerce_penetration_2025,population_score,ecommerce_score,gdp_score,total_score
Sweden,10.6,52600.0,87.3,2,3,3,2.6
Spain,48.8,32590.0,74.5,3,2,2,2.4
Czechia,11.0,29280.0,71.1,3,2,1,2.2
Denmark,6.0,66420.0,84.9,1,3,3,2.2
Finland,5.6,49100.0,85.7,1,3,2,2.0
Ireland,5.5,99060.0,74.9,1,2,3,1.8000000000000003
Italy,59.0,37180.0,50.9,3,0,2,1.6
Greece,9.9,22560.0,55.0,2,1,0,1.2000000000000002
Portugal,10.7,26700.0,53.9,2,0,1,1.0
Lithuania,2.9,27150.0,56.7,0,1,1,0.6000000000000001
Slovakia,5.4,24000.0,60.6,0,1,0,0.4
Croatia,3.9,21740.0,52.5,0,0,0,0.0
